,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,PQ,8,8,,0.9559461272757288,Mnist,-1398766.9524571318,True,,-0.19609889290841945
1,PQ,8,8,,0.9400186967794955,Mnist,-586971.5975188552,True,,-0.12788267276819945
2,PQ,8,8,,0.9686884411395588,Mnist,-746778.4372973246,True,,-0.03224096141360948
3,PQ,8,8,,0.9333499467600026,Mnist,-1812590.3882276388,True,,-0.08188103567517756
4,PQ,8,8,,0.9305519379968032,Mnist,-445679.7804105724,True,,-0.10712318165492261
5,PQ,8,8,,0.9710666819759235,Mnist,-1584960.7086360957,True,,-0.05538646292738706
6,PQ,8,8,,0.9496540361376834,Mnist,-237041.14160846267,True,,-0.20504355688163747
7,PQ,8,8,,0.948890826114088,Mnist,-827486.0812350186,True,,-0.10004353690161158
8,PQ,8,8,,0.9011169154033382,Mnist,-345423.62903105514,True,,-0.051456265419622324
9,PQ,8,8,,0.9568330928082106,Mnist,-1257291.776702648,True,,-0.1293877036460878
10,PQ,8,8,,0.9269158588361114,Mnist,-1329729.250588905,True,,-0.10499205420368493
11,PQ,8,8,,0.8717237640546017,Mnist,-1138774.3876357945,True,,-0.05426578239016553
12,PQ,8,8,,0.9562074812660342,Mnist,-232911.67707903404,True,,-0.08588983470489009
13,PQ,8,8,,0.905957062973035,Mnist,-2872879.4643102856,True,,-0.10218391753677061
14,PQ,8,8,,0.9681320167623838,Mnist,-245607.42589802295,True,,-0.1270999056519158
15,PQ,8,8,,0.927070299418372,Mnist,-698069.464608321,True,,-0.10342661249833676
16,PQ,8,8,,0.9391449715500325,Mnist,-467711.1523746839,True,,0.01909111929394924
17,PQ,8,8,,0.9428989227417996,Mnist,-618612.727373952,True,,-0.05341682692070226
18,PQ,8,8,,0.9292114817931727,Mnist,-400961.8249791004,True,,-0.09721467247553714
19,PQ,8,8,,0.9508399084627084,Mnist,-1331451.621738838,True,,-0.06639487992760292
20,PQ,8,8,,0.9643504994359801,Mnist,-706767.4295405699,True,,-0.03577790475140325
21,PQ,8,8,,0.9336765812909118,Mnist,-496008.14873601776,True,,-0.12862681218952318
22,PQ,8,8,,0.9292277451269956,Mnist,-1221074.7876793155,True,,-0.06916490496986173
23,PQ,8,8,,0.9415958676941275,Mnist,-2098155.2463796493,True,,-0.14950140212083285
24,PQ,8,8,,0.9535280603918039,Mnist,-371545.5869441428,True,,-0.19829444969571133
25,PQ,8,8,,0.9654702311278042,Mnist,-1113617.2312855627,True,,-0.0741265932560802
26,PQ,8,8,,0.9503716078184442,Mnist,-485323.3403219618,True,,0.04768080237865094
27,PQ,8,8,,0.9380106631912095,Mnist,-720162.8190923152,True,,-0.23057487854546882
28,PQ,8,8,,0.920456787894037,Mnist,-1538537.3273114925,True,,-0.19664351246558656
29,PQ,8,8,,0.9644466681728437,Mnist,-1282420.1935738847,True,,-0.10936789452400351
30,PQ,8,8,,0.951823336541456,Mnist,-1346414.166975364,True,,-0.05577992657449809
31,PQ,8,8,,0.9641066098771691,Mnist,-263836.9940061085,True,,-0.11048782764634912
32,PQ,8,8,,0.9533464027229702,Mnist,-342680.2252095137,True,,-0.15322133276900218
33,PQ,8,8,,0.9139741182248322,Mnist,-34855.144020784646,True,,-0.13790081087457215
34,PQ,8,8,,0.9544436227081238,Mnist,-1173712.5133591034,True,,-0.19545317152435845
35,PQ,8,8,,0.8935497203310981,Mnist,-2661795.307037431,True,,-0.0670365271997352
36,PQ,8,8,,0.9430049490935155,Mnist,-2454406.0295305513,True,,0.00827259603534452
37,PQ,8,8,,0.9672894864138926,Mnist,-914760.3189269658,True,,-0.12014844218913921
38,PQ,8,8,,0.9387268126374548,Mnist,-1133876.9255126826,True,,-0.1786918825751115
39,PQ,8,8,,0.9696861925346654,Mnist,-458226.0293986453,True,,-0.002044539738872793
40,PQ,8,8,,0.9665705888613284,Mnist,-1185696.284743229,True,,-0.10323559299565016
41,PQ,8,8,,0.9563813608919121,Mnist,-88665.19478634279,True,,-0.10736167491244462
42,PQ,8,8,,0.9600802987247363,Mnist,-395114.381213231,True,,-0.16781986487712175
43,PQ,8,8,,0.9523086219606105,Mnist,-481591.55984344706,True,,-0.11254635571634151
44,PQ,8,8,,0.9547098098842819,Mnist,-523098.30643019034,True,,-0.10509484072076036
45,PQ,8,8,,0.9339717786629473,Mnist,-1044264.1789826527,True,,-0.032428646498671054
46,PQ,8,8,,0.9541241754594957,Mnist,-334282.71978597343,True,,-0.05581904031317308
47,PQ,8,8,,0.9535012375600814,Mnist,-629071.1340563837,True,,-0.19166211752843143
48,PQ,8,8,,0.9537735693268214,Mnist,-697420.5474276738,True,,-0.16802002072283048
49,PQ,8,8,,0.9347837017351374,Mnist,-2537208.8520772513,True,,0.00876361312046997
