,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_duration_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std
0,832,10000,PQ,8,8,,0.9447595395557418,0.018689127064415705,Mnist,13.413688898086548,0.0028,0.0063,0.00351796875,0.0026102542259372817,912629653419.768,1181674240960.239,True,256,,0.4296875,0.94140625,0.99609375,1.0,0.8359375,0.9921875,1.0,-0.11357996989636587,0.01767644314172719,0.017938577914807536,0.06910885312366147
1,832,10000,OPQ,8,8,False,0.9522945880889893,0.01624351367354393,Mnist,11.180625915527344,0.0025,0.002,0.0033335937499999998,0.004987942921181129,679372455936.0,917203779584.0,True,256,20.0,0.51953125,0.95703125,1.0,1.0,0.84765625,1.0,1.0,-0.09562808275222778,0.01338961347937584,0.01463631447404623,0.06515272706747055
