,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_duration_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std
0,128,10000,PQ,8,8,,0.8731037371443372,0.023112313410932277,Convnet1M,3.669975996017456,0.00315,0.0018,0.00505703125,0.0058458810765806245,0.047679431418962824,0.037529059066707365,True,256,,0.30859375,0.8828125,1.0,1.0,-0.14775752856053803,0.02641843618631288,0.025326915595402705,0.06772111147932165
1,128,10000,PQ,8,16,,0.9299488527039665,0.012189383156185224,Convnet1M,4.141493082046509,0.0017,0.0013,0.0022453125,0.0017638673497017143,0.01410327779492271,0.014823738938305077,True,256,,0.57421875,0.9765625,1.0,1.0,-0.07059955779302067,0.0078004562567301075,0.008760291836254704,0.053067491896263884
2,128,10000,PQ,8,32,,0.9780882230422439,0.0038123772941034057,Convnet1M,4.742985010147095,0.0012,0.0011,0.0013171875000000002,0.00039639180723590893,0.0024383194069987953,0.0034772221102349413,True,256,,0.703125,0.99609375,1.0,1.0,-0.021559961371429286,0.0013970943826959968,0.0020269428605638293,0.03053297313329433
3,128,10000,OPQ,8,8,False,0.8861565589904785,0.01951618306338787,Convnet1M,3.059145927429199,0.0024,0.0016,0.0036437499999999994,0.005206325029471363,0.04124334827065468,0.034951888024806976,True,256,5.0,0.3828125,0.94140625,1.0,1.0,-0.13891133666038513,0.023923709988594055,0.02227325178682804,0.06802447885274887
4,128,10000,OPQ,8,16,False,0.9345833659172058,0.011340226046741009,Convnet1M,3.3962159156799316,0.0016,0.0012,0.0018757812499999998,0.001078246992645209,0.015624609775841236,0.016227276995778084,True,256,5.0,0.62890625,0.99609375,1.0,1.0,-0.07977510243654251,0.009144843555986881,0.009979458525776863,0.05273307114839554
5,128,10000,OPQ,8,32,False,0.9767515659332275,0.00404216255992651,Convnet1M,3.951957941055298,0.0012,0.0012,0.0013128906250000003,0.00042124935523643164,0.002853382145985961,0.0039006350561976433,True,256,5.0,0.77734375,1.0,1.0,1.0,-0.02602958306670189,0.0016824774211272597,0.002385288942605257,0.0317007377743721
