,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_duration_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std
0,512,10000,PQ,8,8,,0.8462090494941602,0.03202626094716386,LabelMe,5.83257794380188,0.00695,0.0098,0.009730468750000002,0.016225151957078045,1.254063464099324,1.326526701759653,True,128,,0.2890625,0.734375,0.984375,1.0,-0.41880076725290466,0.1885821920996106,0.08991451673505851,0.11483949428654358
1,512,10000,PQ,8,16,,0.9175726658201084,0.01363064547135487,LabelMe,6.4814300537109375,0.0039,0.0037,0.004652343749999999,0.0026880221830996743,0.638484039581793,0.7805958699828935,True,128,,0.296875,0.8828125,1.0,1.0,-0.29197275146502677,0.09457687895515375,0.05612088881446888,0.09658566848707721
2,512,10000,PQ,8,32,,0.9392752736143195,0.010274601111715539,LabelMe,7.156536817550659,0.00275,0.0044,0.00333125,0.0023240505453840715,0.42504629766421875,0.5745961829633437,True,128,,0.4921875,0.9765625,1.0,1.0,-0.23279857533481005,0.06188613891267477,0.04238898177803177,0.08769813130710105
3,512,10000,OPQ,8,8,False,0.6268370151519775,0.03733620420098305,LabelMe,4.658671855926514,0.0022,0.0045,0.00272421875,0.001647476578634257,0.9540255665779114,1.4246269464492798,True,128,5.0,0.328125,0.9609375,1.0,1.0,-0.29840603470802307,0.11739907413721085,0.10265523940324783,0.16838330030441284
4,512,10000,OPQ,8,16,False,0.6469103693962097,0.03206825628876686,LabelMe,5.100966930389404,0.0017,0.0017,0.00195,0.0009522998477370454,0.8155956268310547,1.3072729110717773,True,128,5.0,0.5234375,1.0,1.0,1.0,-0.2594097852706909,0.09624195098876953,0.09439364820718765,0.17014263570308685
5,512,10000,OPQ,8,32,False,0.6965935826301575,0.025810234248638153,LabelMe,5.854421138763428,0.0012,0.002,0.0013054687500000002,0.00031974320598479887,0.6390053033828735,1.1444796323776245,True,128,5.0,0.6484375,1.0,1.0,1.0,-0.21100495755672455,0.07130581140518188,0.08118028193712234,0.16365429759025574
